External ID,Location/Display Name,Product/Internal Reference,Product/Name,Product/Internal Category/Name,Quantity,Reserved Quantity
__export__.stock_quant_85238_1dd6b191,AMPRU/Stock,AMP-S010,Матрёшка Z,Saleable,139,139
__export__.stock_quant_85239_1c0e0a63,AMPRU/Stock,AMP-B005-B,Светодиод «Пиранья» (Troyka-модуль),Saleable,99,0
__export__.stock_quant_86080_ac877b6c,AMPRU/Stock,AMP-S025,Платформа #Робоняша,Saleable,15,0
__export__.stock_quant_86098_5d44ba30,AMPRU/Stock,8PK-2061,Набор отвёрток,Saleable,7,0
__export__.stock_quant_86102_ef492a19,AMPRU/Stock,A000062,Arduino Due,Saleable,20,0
__export__.stock_quant_86108_1365f1ef,AMPRU/Stock,AMP-B002,Аналоговый термометр (Troyka-модуль),Saleable,71,23
__export__.stock_quant_86110_fa07331b,AMPRU/Stock,AMP-B004,Датчик освещённости (Troyka-модуль),Saleable,37,24
__export__.stock_quant_86111_ae41879d,AMPRU/Stock,AMP-B005-G,Светодиод «Пиранья» (Troyka-модуль),Saleable,162,0
__export__.stock_quant_86112_5cad2cbf,AMPRU/Stock,AMP-B005-R,Светодиод «Пиранья» (Troyka-модуль),Saleable,14,0
__export__.stock_quant_86114_ef02735d,AMPRU/Stock,AMP-B005-Y,Светодиод «Пиранья» (Troyka-модуль),Saleable,85,0
__export__.stock_quant_86117_24592af9,AMPRU/Stock,AMP-B008,Зуммер (Troyka-модуль),Saleable,49,21
__export__.stock_quant_86124_fe974a44,AMPRU/Stock,AMP-B018,Датчик линии цифровой,Saleable,13,0
__export__.stock_quant_86126_06d14313,AMPRU/Stock,AMP-B020,Strela,Saleable,7,0
__export__.stock_quant_86127_7395fde3,AMPRU/Stock,AMP-B022,Датчик наклона (Troyka-модуль),Saleable,15,0
__export__.stock_quant_86130_16b85e4a,AMPRU/Stock,AMP-B026,Повышающий стабилизатор напряжения (Troyka-модуль),Saleable,7,1
__export__.stock_quant_86132_ebfb5936,AMPRU/Stock,AMP-B031,Opener Shield,Saleable,34,0
__export__.stock_quant_86134_a31cb279,AMPRU/Stock,AMP-B033,Магнитометр / компас (Troyka-модуль),Saleable,1,1
__export__.stock_quant_86140_6f800121,AMPRU/Stock,AMP-B042,Proto Shield,Saleable,18,6
__export__.stock_quant_86146_dfa269a2,AMPRU/Stock,AMP-B051,Датчик паров спирта MQ-3 (Troyka-модуль),Saleable,19,0
__export__.stock_quant_86148_d0f9b36e,AMPRU/Stock,AMP-B053,Датчик горючих газов MQ-5 (Troyka-модуль),Saleable,40,0
__export__.stock_quant_86151_6498a579,AMPRU/Stock,AMP-B056,Датчик водорода MQ-8 (Troyka-модуль),Saleable,29,0
__export__.stock_quant_86155_857d06fc,AMPRU/Stock,AMP-B062-B,Светодиод 5 мм (Troyka-модуль),Saleable,15,0
__export__.stock_quant_86156_13396606,AMPRU/Stock,AMP-B062-G,Светодиод 5 мм (Troyka-модуль),Saleable,17,0
__export__.stock_quant_86157_c9ec543e,AMPRU/Stock,AMP-B062-IR,ИК-передатчик (Troyka-модуль),Saleable,40,20
__export__.stock_quant_86159_d14c8b02,AMPRU/Stock,AMP-B062-W,Светодиод 5 мм (Troyka-модуль),Saleable,142,0
__export__.stock_quant_86172_c50b9899,AMPRU/Stock,AMP-B075,Аудиовыход mini-jack (Troyka-модуль),Saleable,10,0
__export__.stock_quant_86173_4fc28f0e,AMPRU/Stock,AMP-B076,Аудиовыход c винтовыми клеммами (Troyka-модуль),Saleable,16,0
__export__.stock_quant_86174_45949c15,AMPRU/Stock,AMP-B077-B,Кнопка со светодиодом (Troyka-модуль),Saleable,12,0
__export__.stock_quant_86179_20e62a07,AMPRU/Stock,AMP-B082,MIDI вход (Troyka-модуль),Saleable,7,0
__export__.stock_quant_86182_48689f1e,AMPRU/Stock,AMP-B085,Четырёхкнопочная клавиатура (Troyka-модуль),Saleable,6,0
__export__.stock_quant_86183_c64b268a,AMPRU/Stock,AMP-B086-G,Четырёхразрядный индикатор (Troyka-модуль),Saleable,17,0
__export__.stock_quant_86187_3a57cd00,AMPRU/Stock,AMP-B091,Датчик вибрации (Troyka-модуль),Saleable,37,20
__export__.stock_quant_86195_712762b3,AMPRU/Stock,AMP-B104,TV-выход (Troyka модуль),Saleable,25,0
__export__.stock_quant_86199_4a054cbf,AMPRU/Stock,AMP-B111,Усилитель класса D (Troyka-модуль),Saleable,5,5
__export__.stock_quant_86205_7894cb42,AMPRU/Stock,AMP-B119,Плата расширения Slot Expander,Saleable,11,0
__export__.stock_quant_86206_3aea6bce,AMPRU/Stock,AMP-B121,Motor Shield Plus,Saleable,5,0
__export__.stock_quant_86211_36621f29,AMPRU/Stock,AMP-B126,Адаптер Slot Connector,Saleable,31,0
__export__.stock_quant_86213_359e8b5a,AMPRU/Stock,AMP-B129,Troyka Pin-up,Saleable,130,0
__export__.stock_quant_86214_f304a1bb,AMPRU/Stock,AMP-B131,AC/DC Shield,Saleable,6,0
__export__.stock_quant_86216_ed037b1b,AMPRU/Stock,AMP-B140,AC/DC преобразователь «5 В 3000 мА» (Troyka-модуль),Saleable,6,0
__export__.stock_quant_86217_c532b0f8,AMPRU/Stock,AMP-CC104-10,Конденсаторы керамические 100 нФ (10 шт.),Saleable,50,0
__export__.stock_quant_86233_f9b17bfb,AMPRU/Stock,AMP-M007,Нейлоновые винты М3×8 (4 шт.),Saleable,68,0
__export__.stock_quant_86238_941f4384,AMPRU/Stock,AMP-M016,Крепления моторов и датчиков линии (#Структор),Saleable,21,0
__export__.stock_quant_86239_c60d9f1f,AMPRU/Stock,AMP-M017,Крепления микросерво (#Структор),Saleable,5,0
__export__.stock_quant_86241_2a74aad8,AMPRU/Stock,AMP-M020,Пластины микро (#Структор),Saleable,8,0
__export__.stock_quant_86242_872317dd,AMPRU/Stock,AMP-M021,Пластины мини (#Структор),Saleable,12,0
__export__.stock_quant_86243_3b447b1f,AMPRU/Stock,AMP-M022,Пластины средние (#Структор),Saleable,39,0
__export__.stock_quant_86244_85841b7c,AMPRU/Stock,AMP-M023,Рейки (#Структор),Saleable,13,0
__export__.stock_quant_86245_d0b63e63,AMPRU/Stock,AMP-M024,Широкие рейки (#Структор),Saleable,8,0
__export__.stock_quant_86248_2aa216cf,AMPRU/Stock,AMP-M034,Slot Box (#Структор),Saleable,5,1
__export__.stock_quant_86250_5847c358,AMPRU/Stock,AMP-R100K-10,Резисторы 100 кОм (10 шт.),Saleable,42,0
__export__.stock_quant_86251_1d91fb10,AMPRU/Stock,AMP-R10K-10,Резисторы 10 кОм (10 шт.),Saleable,553,0
__export__.stock_quant_86252_10e12824,AMPRU/Stock,AMP-R1K-10,Резисторы 1 кОм (10 шт.),Saleable,18,0
__export__.stock_quant_86253_00df8c71,AMPRU/Stock,AMP-R220R-10,Резисторы 220 Ом (10 шт.),Saleable,100,0
__export__.stock_quant_86254_da20eeba,AMPRU/Stock,AMP-R2K2-10,"Резисторы 2,2 кОм (10 шт.)",Saleable,25,1
__export__.stock_quant_86257_c58d2e6a,AMPRU/Stock,AMP-W004,Кабель USB (A — B),Saleable,30,0
__export__.stock_quant_86258_954ded0a,AMPRU/Stock,AMP-W005,Соединительные провода «папа-папа»,Saleable,36,1
__export__.stock_quant_86259_36553f68,AMPRU/Stock,AMP-W006,Соединительные провода «мама-мама»,Saleable,44,5
__export__.stock_quant_86261_63641904,AMPRU/Stock,AMP-W008,Кабель HDMI (1 м),Saleable,16,0
__export__.stock_quant_86262_e278799a,AMPRU/Stock,AMP-W009,Кабель USB (A — Micro USB),Saleable,20,12
__export__.stock_quant_86263_1e884e6c,AMPRU/Stock,AMP-W010,Кабель USB (A — Mini USB),Saleable,28,12
__export__.stock_quant_86265_bcbdbd57,AMPRU/Stock,AMP-W017,Провода с крокодилами (5 шт.),Saleable,27,4
__export__.stock_quant_86266_c6749373,AMPRU/Stock,AMP-W021,Соединительные провода «папа-папа» (20 шт.),Saleable,11,4
__export__.stock_quant_86267_fef60eec,AMPRU/Stock,AMP-X002,Breadboard,Saleable,18,2
__export__.stock_quant_86269_795c09ac,AMPRU/Stock,AMP-X004,Набор перемычек,Saleable,26,0
__export__.stock_quant_86274_35474f47,AMPRU/Stock,AMP-X009-W4,Светодиоды 5 мм (4 шт.),Saleable,66,0
__export__.stock_quant_86280_324d476b,AMPRU/Stock,AMP-X018,Термистор,Saleable,40,0
__export__.stock_quant_86281_369a8df8,AMPRU/Stock,AMP-X019,Выходной сдвиговый регистр SN74HC595N,Saleable,31,0
__export__.stock_quant_86283_0b9cee88,AMPRU/Stock,AMP-X022,ИК-приёмник,Saleable,14,0
__export__.stock_quant_86284_aebe9952,AMPRU/Stock,AMP-X023,ИК-приёмник,Saleable,25,0
__export__.stock_quant_86286_ea572bd4,AMPRU/Stock,AMP-X025,Микроконтроллер ATtiny45-20PU,Saleable,3,0
__export__.stock_quant_86289_dd83537a,AMPRU/Stock,AMP-X028,Штырьковые соединители длинные (1×40),Saleable,33,2
__export__.stock_quant_86291_db2de1c5,AMPRU/Stock,AMP-X030,Пьезо-пищалка,Saleable,6,0
__export__.stock_quant_86292_b5b21c8f,AMPRU/Stock,AMP-X033,Инфракрасный дальномер Sharp GP2Y0A02YK (20–150 см),Saleable,24,7
__export__.stock_quant_86295_f4d9053e,AMPRU/Stock,AMP-X037,Сборка Дарлингтона ULN2003A,Saleable,13,0
__export__.stock_quant_86297_ff1c2f84,AMPRU/Stock,AMP-X039,Компаратор LM339N,Saleable,21,0
__export__.stock_quant_86298_3e557b46,AMPRU/Stock,AMP-X040,Датчик температуры DS18B20+,Saleable,18,0
__export__.stock_quant_86301_2dea1b15,AMPRU/Stock,AMP-X044,Семисегментный драйвер CD4026BE,Saleable,34,0
__export__.stock_quant_86302_417a2f75,AMPRU/Stock,AMP-X045-5,Диоды выпрямительные 1N4007 (5 шт.),Saleable,17,1
__export__.stock_quant_86303_e4e6f1d7,AMPRU/Stock,AMP-X046,Семисегментный индикатор,Saleable,7,0
__export__.stock_quant_86304_a2892a4d,AMPRU/Stock,AMP-X049,Тумблер KN3(A)-102AA-C2,Saleable,12,0
__export__.stock_quant_86307_8811dc29,AMPRU/Stock,AMP-X052,Диод Зенера (Стабилитрон),Saleable,29,0
__export__.stock_quant_86308_f19088e7,AMPRU/Stock,AMP-X053,Батарейный отсек 3×2 AA,Saleable,8,1
__export__.stock_quant_86309_db5d27f3,AMPRU/Stock,AMP-X054,DIP-переключатель (8 позиций),Saleable,1,1
__export__.stock_quant_86311_50d2dcbf,AMPRU/Stock,AMP-X056,"Штекер питания 2,1 мм с клеммником",Saleable,6,1
__export__.stock_quant_86312_5ff1cfae,AMPRU/Stock,AMP-X058,Микроконтроллер ATmega48PA-PU,Saleable,7,0
__export__.stock_quant_86313_cb42d687,AMPRU/Stock,AMP-X059,Микроконтроллер ATtiny84-20PU,Saleable,4,0
__export__.stock_quant_86314_2790ca87,AMPRU/Stock,AMP-X060,Инвертирующий триггер Шмитта SN74HC14N,Saleable,19,0
__export__.stock_quant_86319_14e36fa4,AMPRU/Stock,AMP-X100-FLA,Текстовый экран 16×2 / янтарный с чёрным,Saleable,17,0
__export__.stock_quant_86320_f07a403e,AMPRU/Stock,AMP-X100-KLW,Текстовый экран 16×2 / синий с белым,Saleable,3,0
__export__.stock_quant_86321_488efbc9,AMPRU/Stock,AMP-X100-VLG,Текстовый экран 16×2 / чёрный с зелёным,Saleable,9,0
__export__.stock_quant_86322_27be5445,AMPRU/Stock,AMP-X101-FLA,Текстовый экран 20×4 / янтарный с чёрным,Saleable,10,0
__export__.stock_quant_86323_61fb3e69,AMPRU/Stock,AMP-X101-VLG,Текстовый экран 20×4 / чёрный с зелёным,Saleable,13,0
__export__.stock_quant_86329_452a5c20,AMPRU/Stock,AMP-X121,Шаговый двигатель 42STH60-1206A,Saleable,96,0
__export__.stock_quant_86331_ab11f7e3,AMPRU/Stock,AMP-X126,Резистор давления (6 мм),Saleable,40,0
__export__.stock_quant_86336_42435ff7,AMPRU/Stock,AMP-X140-2,Колёса 42×19 мм (пара),Saleable,13,0
__export__.stock_quant_86341_d394c2ce,AMPRU/Stock,AMP-X146,Конспект хакера,Saleable,42,0
__export__.stock_quant_86347_14e03679,AMPRU/Stock,AMP-X156,Держатель печатной платы с лупой,Saleable,6,0
__export__.stock_quant_86349_e429ea44,AMPRU/Stock,AMP-X163,Магнитный извещатель (геркон),Saleable,5,0
__export__.stock_quant_86350_15772551,AMPRU/Stock,AMP-X181,Батарейный отсек 1 AA,Saleable,5,0
__export__.stock_quant_86351_15586462,AMPRU/Stock,AMP-X182,Батарейный отсек 2 AA,Saleable,10,0
__export__.stock_quant_86352_ef59e1ea,AMPRU/Stock,AMP-X183,Батарейный отсек 4 AA,Saleable,12,0
__export__.stock_quant_86353_c995cad3,AMPRU/Stock,AMP-X187,Припой с флюсом (20 г),Saleable,22,0
__export__.stock_quant_86354_dbbe29f7,AMPRU/Stock,AMP-X189,NiMH-аккумулятор «Крона» (250 мАч),Saleable,210,0
__export__.stock_quant_86356_5ed2ddfc,AMPRU/Stock,AMP-X193,Батарейный отсек 3 AA,Saleable,9,0
__export__.stock_quant_86359_10b41aab,AMPRU/Stock,AMP-X198,Breadboard Micro 2×8,Saleable,8,0
__export__.stock_quant_86363_640852c1,AMPRU/Stock,AMP-X204,Клавиатура 4×3 кнопки,Saleable,15,0
__export__.stock_quant_86373_11ac2c9e,AMPRU/Stock,AMP-X225,Герметичный корпус 115×65×55,Saleable,3,0
__export__.stock_quant_86376_8784c958,AMPRU/Stock,AMP-X228,Герметичный корпус 160×160×60,Saleable,16,0
